,name,time,tweet
31,Mom is 🥜🌰,2022-05-29 06:56:26+00:00,Ninuninu kl ada yg lapor pencemaran nama baik pake UU ITE meski alasannya lebay &amp; terlalu dicari2 pdhl cuman fragil… https://t.co/FE8cP2w9aW
32,Eliy,2022-05-29 06:36:34+00:00,"@tanyakanrl Cwo bisa tebar jaring seenaknya, cewe wajib tutup jalan biar si cwo ga seenaknya.

Kalo kasus pemerkosa… https://t.co/v0fTW2GuCk"
33,Beritabaru.co,2022-05-29 05:54:34+00:00,"Keluarga dan Saksi Kunci Kasus Pemerkosaan Bocah di Sragen Diintimidasi, Luluk Nur Hamidah: Perlindungan Fisik Akan… https://t.co/SnWD8SmUmk"
34,🚭🚯,2022-05-29 05:30:44+00:00,TW: Pemerkosaan di Metaverse https://t.co/iP1THkdEvn
35,•Mor•,2022-05-29 04:30:48+00:00,"@NITROGAZED Tentang tradisi kawin tangkap di Sumba gitu. Seinget aku TW-nya: pemerkosaan/rape, suicide attempt (lum… https://t.co/BFdn1oEvu7"
36,🅽🅾🆅🅴🅻🅰🆁🅰🆂🆆🅰🆃🅸 💯🇮🇩,2022-05-29 03:51:26+00:00,"KSTP semakin brutal dan membabi buta, anak di bawah umur menjadi menjadi korban pemerkosaan

Kinerja Presiden Memua… https://t.co/NNOgUf2lpE"
37,Ryu,2022-05-29 03:37:57+00:00,"@JAV_banget Perihal resesi bakal banyak akibat fatal, dengan resesi yg terjadi seperti perjaka single ketika indust… https://t.co/C3Ld4EFS5A"
38,🌸,2022-05-29 02:01:40+00:00,Korban pemerkosaan gimana? https://t.co/ku5h60B366
39,Hijrah Taubatters,2022-05-29 00:44:49+00:00,"Sekarang marak sekali muncul berita skandal perselingkuhan atau pemerkosaan,,Di antara sebabnya krn konten pornogra… https://t.co/fokNtG5MLB"
40,Dakwah HIJAB +62,2022-05-28 23:31:02+00:00,Di India setiap hari ada korban pemerkosaan.. bukan krn tidk memakai jilbab. Tp memakai jilbab setidaknya bisa mengurangi tindakan asusila
41,Cel🌸,2022-05-28 18:46:36+00:00,"@richboysx @Strwbrrymanggaa Jan mau nyai, ntar masuk berita pemerkosaan loh"
42,memo🌻,2022-05-28 17:02:45+00:00,kok tega ya sampek ngerusak mental anak orang pdhl cewek low harus nya paham perasaan sesama cewe kalau anak nya ja… https://t.co/SQQlmMdEzG
43,Jurnalis independent (freedom_perss),2022-05-28 16:59:18+00:00,"Biaya Berbicara Melawan #China

 Wanita Uyghur Qelbinur Sedik secara terbuka berbicara tentang pemerkosaan sistemat… https://t.co/PThr3Gx8MZ"
44,夢,2022-05-28 16:49:10+00:00,"@nonanoina_ ada ""Marlina si Pembunuh dalam Empat Babak"".
adegan seks di sana bukan buat muasin hasrat laki2 yang no… https://t.co/u0nBeRuY28"
45,p._.nana,2022-05-28 15:40:34+00:00,"Mau tu ada money power dll,  kecewa sama media lokal yg gak IRT (In Real Time) sampaikan berita nasional (Formula E… https://t.co/ae48tz9GPi"
46,awanama,2022-05-28 14:45:14+00:00,"Udah mati pun gk aman dari pemerkosaan, surem"
47,Teguh pribadi,2022-05-28 14:02:52+00:00,@ed_tirta sudah takdirnya kasus pemerkosaan Herry Wirawan coba di sembunyikan dari media...
48,fate21,2022-05-28 13:04:38+00:00,@zannyhamhamz Org indo keknya perlu edukasi juga ga sih kalau ngeliat kasus pemerkosaan gini bagaimana harus bertin… https://t.co/tkl11cNEjB
49,kumparan,2022-05-28 12:13:04+00:00,Upaya pemerkosaan itu gagal setelah sang nenek melawan dengan menggigit tangan duda itu serta mengejarnya dengan go… https://t.co/nCV8va3bVM
50,nob,2022-05-28 11:30:50+00:00,"Teh, what’s your pet peeves on fanfiction? — Perselingkuhan, pemerkosaan, menaruh karakter perempuan sebagai antago… https://t.co/KA1zXKzVEN"
51,Jejung🌌,2022-05-28 10:09:56+00:00,"⚠️WARNING⚠️
- BxB
- Angst dikit
- Omegavers/Mpreng
- 18+
- Pemerkosaan,Kekerasan,Hamil diluar nikah
- Bahasa campur… https://t.co/JsSAnFMmTQ"
52,eL Mundo,2022-05-28 09:13:48+00:00,"@parpelino Katanya ""biar suka lakik."" Atau, kalau bukan ""literally diperkosa,' bisa juga dengan ""manipulasi pemerko… https://t.co/IuZ9iR6GKR"
53,folbek ye,2022-05-28 08:17:09+00:00,Korea Selatan adalah negara Asia pertama yang melegalkan pengebirian kelamin secara kimia untuk pelaku pemerkosaan / kejahatan seks.
54,Maria ماريا 🕊🦋,2022-05-28 07:08:45+00:00,@SmgMenfess2 biasa aja. dengerin aja ceritanya gausah ditanggapin yg gimana2. bukan tanggung jawab aku jg. kalau di… https://t.co/kuexmlieTr
55,Wounded (GCLT),2022-05-28 06:53:26+00:00,"@AREAJULID Astagaa orang tua tolol nya 
Atas dasar apa ?? Percaya Krn calonya org pesantren org Agamawan 
Gak liat… https://t.co/dUOpsGnqRK"
56,KadRunMurTaD🥷,2022-05-28 06:44:01+00:00,@KadrunBin @alextham878 Sejak kapan somad mewakili umat islam di indonesia??? Apakah orang2 yg dipenjara krn kasus… https://t.co/YsysJhmLsM
57,🫶🏽,2022-05-28 06:27:50+00:00,@PanggilAjaOlaaa @xxakuaaprilll @carramel_xixy korban HS itu contohnya pemerkosaan ya viola faker.
58,Salsavira az zahra,2022-05-28 05:24:07+00:00,"4. Melakukan Pemerkosaan Terhadap Pacar Sendiri

Tindakan ini diatur dalam Pasal 285 KUHP, yang menyatakan ""Barang… https://t.co/tpJqOMk3uW"
59,Salsavira az zahra,2022-05-28 05:06:06+00:00,"Akan tetapi jika bucinnya menimbulkan akibat seperti pencurian, penganiayaan, pemerkosaan, dll, itu baru dapat dila… https://t.co/LY4jGdTOio"
60,ؘ,2022-05-28 04:53:45+00:00,"tw :  rape sexual harrasement pemerkosaan perkosa 

0,01% yang akan terjadi itu udah makan korban banyak bahkan 90%… https://t.co/79CBdbWtlh"
61,NusaBali.com,2022-05-28 03:54:44+00:00,"Dinilai Kooperatif, Tersangka Persetubuhan Belum Ditahan https://t.co/BFuUWMrcJr #berita #nusabali #Kriminal #Pemerkosaan #PolresBuleleng"
62,"DR. Ahmad Anjai Al Baroesy, M.Pd.I",2022-05-28 03:40:36+00:00,"Bohong besar PBB itu ada! Pembantaian terus bergulir, Pemerkosaan, perampasan hak hidup, tapi tidak pernah direspon… https://t.co/nZHBJ86MXy"
63,"Hello, Chen🥳",2022-05-28 03:20:29+00:00,"@fahriii_b05 @dazzlingaqua525 @ennsungie Marah ya? Kesal ya? Santai aja, tiap ada kasus pelecehan/pemerkosaan korba… https://t.co/t7uz17xYwX"
64,J,2022-05-28 03:08:29+00:00,"@zatbergizi katanya kising, tp kl maksa gt ya sama aja pemerkosaan"
65,lalalalalalalala,2022-05-28 02:35:03+00:00,@masscokro @CillRyder @ennsungie Air lada atau air cabe bubuk udah cukup sih. Ini yang salty pembunuhan lebih diper… https://t.co/hZB92vuOoB
66,Fahri,2022-05-28 02:21:15+00:00,"@sushitrcshh @dazzlingaqua525 @ennsungie Maksud dari 0,01% itu untuk hal yg g semua tindakan kriminal bakal kita pi… https://t.co/mt4hQCvrCX"
67,oyen,2022-05-28 01:58:43+00:00,@Steverevano99 @barnadi @musurifu @Ustadz_Ahong wkwkwk kasih contoh juga dong pemerkosaan di pesantren yang dilakui… https://t.co/ekHGx77Lp5
68,tomo,2022-05-28 01:42:13+00:00,"@convomfs waktu itu jamannya pemerkosaan di dalem angkot, sekarang pelecehan di motor? ini gue ga punya kendaraan s… https://t.co/x0jeBHTzWZ"
69,Kal 🐑,2022-05-28 00:52:00+00:00,"Tapi pernah nemu satu kasus yang nginap sama keluarga kaya gini, karena tempat tinggalnya nerima beberapa, baik cow… https://t.co/hdRcHhL2Zo"
70,calvin kurniawan,2022-05-28 00:27:12+00:00,@BAHAN_COL1 Yang pemerkosaan indo bagus kaya e boss
71,Real Madrid ,2022-05-28 00:23:48+00:00,"Kenalan lewat FB, Bocah SMP jadi Korban Pemerkosaan https://t.co/WGRisjXC6Q"
72,𝕙𝕒𝕣𝕣𝕪Ⓒ︎Ⓔ︎Ⓟ︎Ⓨ︎,2022-05-28 00:16:04+00:00,"@BuronanMabes Bilang padanya,pembunuhan pemerkosaan ada sebelum agama islam ada ,jadi apakah itu tetep boleh🤦‍♂️🤦‍♂️🤦‍♂️"
73,He n's,2022-05-27 23:42:56+00:00,"@tanyakanrl Sebenarnya cowo2 tuh kalo masalah jaga cewe baik.

Karena mikirnya gimana kalo itu ibu atau adek peremp… https://t.co/KqhobUNZ59"
74,Nang_kap,2022-05-27 23:40:18+00:00,@HisyamMochtar Manusia bagaimanapun bentuk dan sifatnya ia tetap manusia wajar ketika kita menhormatinya namun keti… https://t.co/nxYoWJocA6
75,J,2022-05-27 22:28:19+00:00,@mess3dupp STRESS ANJING.... ITU MAH UDH PEMERKOSAAN......
76,Suci,2022-05-27 18:32:59+00:00,"@masscokro @CillRyder @ennsungie Tindakan percobaan pembunuhan, trs si bapaknya apa? Tindakan percobaan pemerkosaan"
77,Dewarch,2022-05-27 18:16:02+00:00,"@goldfinch303 @ennsungie Sama, setidaknya berhenti dan bantu teriak minta tolong ada pemerkosaan ya"
78,jea,2022-05-27 17:36:47+00:00,Kalo segampang itu ga bakal ada banyak kasus pemerkosaan https://t.co/MFGUebbQFs
79,Galack bangoyyy,2022-05-27 17:22:40+00:00,"Kok ket wingi akeh bgt sg bandingke dee mbe ariel to? Jare peh ariel ganteng jd ga kena cancel. Wait, kasus ariel s… https://t.co/j5j7YKDcYm"
80,R15,2022-05-27 14:51:27+00:00,@godfranky2 Pemerkosaan?
81,detik bali,2022-05-27 14:34:30+00:00,Tersangka Pemerkosaan Perempuan Disabilitas di Buleleng Tak Ditahan https://t.co/Yu24B8krdN
82,Sarimi isi kenangan 🐣,2022-05-27 14:07:58+00:00,@lessugan Otaknya dititd begitu jadinya.... pemerkosaan njer itu
83,Sarimi isi kenangan 🐣,2022-05-27 14:03:42+00:00,"@iyopiey NGERI BGT TA, ITU KAYA PEMERKOSAAN 😭"
84,kumparan,2022-05-27 13:34:34+00:00,Pria itu mengancam akan menganiaya anak kandungnya itu jika berani melaporkan tindak pemerkosaan tersebut.… https://t.co/YtvnVGkiOf
85,🐣,2022-05-27 13:03:39+00:00,"""jangan sex bebas! kita negara beragama!"" but then behind the curtain they do: cari cewe simpenan, pemerkosaan, selingkuh, etc etc"
86,sugi,2022-05-27 12:30:04+00:00,@ahimloew Kaya tersangka pemerkosaan wkwkwk
87,lalabah,2022-05-27 12:11:57+00:00,"@ch0coh4zelnut @AREAJULID Yah semoga pernikahan mereka samawa yah, ngeri juga sih kalo ternyata ada sifat"" yg berto… https://t.co/pZORNBywon"
88,Bocah GILA .,2022-05-27 12:07:51+00:00,"Di Ajak Berhijab banyak Alasan, Diajak pakai Baju Seksi Ikut ikutan giliran ada Pemerkosaan Bilangnya ""Semua Lelaki Busuk"""
89,Kompas.com,2022-05-27 11:35:36+00:00,"KB (56), telah ditetapkan sebagai tersangka kasus dugaan pemerkosaan penyandang disabilitas di Buleleng, namun dia… https://t.co/TiQuuN3fXc"
90,Witch King in Disguise,2022-05-27 11:23:04+00:00,"Makin pesimis aja sm ni negara, segala orang ngentot lah diurusin. Yg pemerkosaan anak aja gk diterusin kasusnya. 

Anjing."
91,narto hayon,2022-05-27 11:16:46+00:00,"Tahun2 itu, jarang ada gadis dan remaja yg berjilbab. Mreka tampil natural dan bercitarasa nusantara. Enak dipandan… https://t.co/fwJLaHoxzE"
92,Heriweb,2022-05-27 11:15:29+00:00,"Terkait Kasus Pemerkosaan Bocah Perempuan di Simarsayang, Ini Keterangan Polisi https://t.co/U1p25pxmAV"
93,Benda mati,2022-05-27 10:44:32+00:00,"gatau deh, sampe skrg jatohnya kasus dia yg lalu ada yg termasuk pemerkosaan atau bukan. ada yg hamil atau ngga. abu"". jadi bingung."
94,Benda mati,2022-05-27 10:44:31+00:00,"sayang bakat speakingnya si. tp ya kalo dibela dgn cara ""liat dr sisi talentnya"" bakal jadi standar ganda. atau gim… https://t.co/oiHoRVpavG"
95,OFFICIAL BEM UPNVJ,2022-05-27 10:24:58+00:00,"dan bersolidaritas kepada para korban juga keluarga korban

Tragedi Mei 1998 masih menyisakan catatan kelam hingga… https://t.co/ncacsZLttY"
96,OFFICIAL BEM UPNVJ,2022-05-27 10:24:56+00:00,yang diselenggarakan oleh Komite Nasional Perempuan Mahardhika. Acara ini bertujuan sebagai upaya dalam melawan seg… https://t.co/8XLhWPFDR2
