,name,time,tweet
30,🅽🅾🆅🅴🅻🅰🆁🅰🆂🆆🅰🆃🅸 💯🇮🇩,2022-05-29 03:51:26+00:00,"KSTP semakin brutal dan membabi buta, anak di bawah umur menjadi menjadi korban pemerkosaan

Kinerja Presiden Memua… https://t.co/NNOgUf2lpE"
31,Ryu,2022-05-29 03:37:57+00:00,"@JAV_banget Perihal resesi bakal banyak akibat fatal, dengan resesi yg terjadi seperti perjaka single ketika indust… https://t.co/C3Ld4EFS5A"
32,🌸,2022-05-29 02:01:40+00:00,Korban pemerkosaan gimana? https://t.co/ku5h60B366
33,Hijrah Taubatters,2022-05-29 00:44:49+00:00,"Sekarang marak sekali muncul berita skandal perselingkuhan atau pemerkosaan,,Di antara sebabnya krn konten pornogra… https://t.co/fokNtG5MLB"
34,Free Porn Movies,2022-05-29 00:20:22+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nV4kYI"
35,Dakwah HIJAB +62,2022-05-28 23:31:02+00:00,Di India setiap hari ada korban pemerkosaan.. bukan krn tidk memakai jilbab. Tp memakai jilbab setidaknya bisa mengurangi tindakan asusila
36,Cel🌸,2022-05-28 18:46:36+00:00,"@richboysx @Strwbrrymanggaa Jan mau nyai, ntar masuk berita pemerkosaan loh"
37,life of 𝐩ᵢa,2022-05-28 17:07:19+00:00,"Terus film dgn adegan seks bdsm, juga termasuk NSFW karena bdsm juga luas banget. Bayangin aja anak under 18 konsum… https://t.co/rH02RtVu5m"
38,memo🌻,2022-05-28 17:02:45+00:00,kok tega ya sampek ngerusak mental anak orang pdhl cewek low harus nya paham perasaan sesama cewe kalau anak nya ja… https://t.co/SQQlmMdEzG
39,Jurnalis independent (freedom_perss),2022-05-28 16:59:18+00:00,"Biaya Berbicara Melawan #China

 Wanita Uyghur Qelbinur Sedik secara terbuka berbicara tentang pemerkosaan sistemat… https://t.co/PThr3Gx8MZ"
40,夢,2022-05-28 16:49:10+00:00,"@nonanoina_ ada ""Marlina si Pembunuh dalam Empat Babak"".
adegan seks di sana bukan buat muasin hasrat laki2 yang no… https://t.co/u0nBeRuY28"
41,p._.nana,2022-05-28 15:40:34+00:00,"Mau tu ada money power dll,  kecewa sama media lokal yg gak IRT (In Real Time) sampaikan berita nasional (Formula E… https://t.co/ae48tz9GPi"
42,awanama,2022-05-28 14:45:14+00:00,"Udah mati pun gk aman dari pemerkosaan, surem"
43,Teguh pribadi,2022-05-28 14:02:52+00:00,@ed_tirta sudah takdirnya kasus pemerkosaan Herry Wirawan coba di sembunyikan dari media...
44,fate21,2022-05-28 13:04:38+00:00,@zannyhamhamz Org indo keknya perlu edukasi juga ga sih kalau ngeliat kasus pemerkosaan gini bagaimana harus bertin… https://t.co/tkl11cNEjB
45,Free Porn Movies,2022-05-28 12:20:23+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nUMbKA"
46,kumparan,2022-05-28 12:13:04+00:00,Upaya pemerkosaan itu gagal setelah sang nenek melawan dengan menggigit tangan duda itu serta mengejarnya dengan go… https://t.co/nCV8va3bVM
47,nob,2022-05-28 11:30:50+00:00,"Teh, what’s your pet peeves on fanfiction? — Perselingkuhan, pemerkosaan, menaruh karakter perempuan sebagai antago… https://t.co/KA1zXKzVEN"
48,Jejung🌌,2022-05-28 10:09:56+00:00,"⚠️WARNING⚠️
- BxB
- Angst dikit
- Omegavers/Mpreng
- 18+
- Pemerkosaan,Kekerasan,Hamil diluar nikah
- Bahasa campur… https://t.co/JsSAnFMmTQ"
49,Free Porn Movies,2022-05-28 09:20:23+00:00,"Download Bokep #publicagent #jepang #pemerkosaan #faketaxi #fakeagent #anal #indo #perawan Semua nya lengkap
https://t.co/jSm2nV4kYI"
50,eL Mundo,2022-05-28 09:13:48+00:00,"@parpelino Katanya ""biar suka lakik."" Atau, kalau bukan ""literally diperkosa,' bisa juga dengan ""manipulasi pemerko… https://t.co/IuZ9iR6GKR"
