,name,time,tweet
30,Hampir Kafir,2022-05-24 20:56:26+00:00,"@pakantono Laiyo laiyo inayah iki yo opo, engkok lek di towo malah gawe thread pelecehan seksual, lakyo repot"
31,BABINSA!,2022-05-24 20:27:44+00:00,Ceuk aing geu bagas mc weh enggeus. Tiada ruang untuk pelaku pelecehan seksual!!!!✊ https://t.co/4lGsCpwMtt
32,lupakan aku ୧⍤⃝⚘,2022-05-24 20:16:38+00:00,"@just_adrial @Dillaella2 @RizkyHeriadi @txtdarigajelas ga gitu juga kali bro, mungkin maksud mbak @Dillaella2 ini t… https://t.co/GTrScwGblU"
33,Marigold,2022-05-24 19:14:42+00:00,"@mey_rich @beezzyyy_ @stefanyvonne Bayangin, kasus ini ga rame ga dibahas di mana2. Terus lapor ke PBSI emang yakin… https://t.co/b2WfIJR6M4"
34,panjull,2022-05-24 19:11:35+00:00,@Nanta77067127 @oo_jef @PbKami @uobmwrad @BadmintonLive1 Gue gatau kalo masih ada manusia yg otaknya keterbelakang… https://t.co/G8BkTe0rxG
35,Meilisa Richarda,2022-05-24 18:24:52+00:00,@nathanbasyir @beezzyyy_ @stefanyvonne Emang Dr semua kata kalimat saya ada mendukung pelecehan?? Ada?? Saya kan bi… https://t.co/ULkbchihjR
36,👓🦉⚡ Miss Ermyknee Potter 📚🐱⚗,2022-05-24 18:17:16+00:00,"Jadi lebih tepat kalo bilangnya ""yere jangan body shaming dan melakukan pelecehan seksual lagi ya. Karena kedua hal… https://t.co/xoxLMq6Gge"
37,sandy,2022-05-24 18:16:01+00:00,"Prosesnya: 
1. Suka
2. Bucin
3. Kdrt
4. Pelecehan sexual
5. Pemerasan
6. Ancaman
Kesimpulanya apa?"
38,🤡,2022-05-24 18:13:57+00:00,@uliiliia @Destangreys @RudyRoedyanto @INABadminton not trying to defend yg ketawa tapi kayanya mereka ketawa krn a… https://t.co/d7gupptVM4
39,👓🦉⚡ Miss Ermyknee Potter 📚🐱⚗,2022-05-24 18:13:39+00:00,"""Harusnya yere hati2, kan dia lagi live. dijaga mulutnya""

🤨 itu kurang tepat sih. Harusnya bukan di saat streaming… https://t.co/0lkEqIJWaM"
40,radaraktualdotcom,2022-05-24 17:56:58+00:00,"Buntut Video Viral Pelecehan ke Volunteer SEA Games 2021, Instagram Yeremia Rambitan Hilang https://t.co/FqyBFRy03h"
41,Ordinary random shit guy,2022-05-24 17:40:21+00:00,Yappp.... Pelecehan seksual yang korbannya cwok selalu saja dianggap sepele. Semoga yang komen jangan sampe jadi ko… https://t.co/ECws6jwe6V
