,name,time,tweet
31,#no_mention,2022-05-22 06:27:06+00:00,"@safirawwww Yg menurut situ melakukan pelecehan ada di depan mata , lsg aja laporkan atau labrak sekalian, jangan s… https://t.co/iKXZnWEQRM"
32,Kembang,2022-05-22 06:26:07+00:00,"pelecehan tetep salah, gaada pembenaran wajib dilaporin dan pelakunya dihukum.

tapi tentang lagi naik baik gocar/g… https://t.co/icjBKTX6lj"
33,Ayu Komang,2022-05-22 06:23:30+00:00,@AntoroPeri @bigblackreborn Woiiii brengsek Lo ngatain saya yang nggk2 di Twitter emang saya pernah ngapin Lo .bang… https://t.co/4wwnHP0qnl
34,SISIL,2022-05-22 06:23:05+00:00,"@Nuala_Cherelle @tanyakanrl Plis itu dia ngiranya pasti abngnya sayang apa gmn gtu, dia g tau klo ini smcm kek pelecehan."
35,hazel나테🌦,2022-05-22 06:22:55+00:00,"walaupun dia cowok apa gak boleh ngerasa takut, panik, dll ketika dihadapin sama situasi kaya begini. jangan ngambi… https://t.co/F4pU1bZhMl"
36,S O R C E R E R A R M A N I,2022-05-22 06:21:20+00:00,@GusAmplop @ariarjiwinata02 Pelaku pelecehan asalkan tampang alim aja dibela ckck
37,Moon,2022-05-22 06:20:35+00:00,"@xiaotiengg Marahin perkara berhenti di indomaret (yang katanya udah diiyain) aja udah parah, apalagi bawa bawa kal… https://t.co/UqMKt8eLED"
38,only asla.,2022-05-22 06:19:18+00:00,"@tanyakanrl Walaupun bayi nya cowo tapi ya sama aja pelecehan, ini bisa aja termasuk pelecehan sesama jenis dan pel… https://t.co/3TYUSCXzF7"
39,Ndi theEnd,2022-05-22 06:17:03+00:00,"Kataya dianggap ustad sohor knp disejajarkan ratu Ganja...

Mang gak da contoh yg lain mus...

Pelecehan nih ....🤭🤭🤭 https://t.co/Iq6fFwqKsO"
40,cassyyyyy,2022-05-22 06:16:13+00:00,"TW // Pelecehan, Sexual Assault, Harshwords

Dengar ini langsung ngira orang medan, ternyata emang di manhattan. Se… https://t.co/DGeJJk9s5E"
41,mbak-mbak 3x,2022-05-22 06:16:12+00:00,"Sesusah itu ya mengakui orang dg atribut apapun bisa melakukan pelecehan.

Pakaian itu di luar, cuma kain penutup.… https://t.co/NByf83j8RH"
42,aliyaa,2022-05-22 06:15:57+00:00,"Uda gila kalo liat rudapaksa, pelecehan, membunuh anak sendiri lah, hal2 gila ini uda ga waras. Kadang suka takut, takut bgt😭💔"
43,meimei,2022-05-22 06:14:22+00:00,"@RahmatRRor @araasure @xiaotiengg namanya orang takut reaksinya bisa berbeda, dan kebanyakan orang takut ya diem ka… https://t.co/nNLI8BbgCE"
44,Rian,2022-05-22 06:14:16+00:00,@thrllypetty @RahmatRRor @araasure @xiaotiengg 😅 gmna ada orng di depan mata lu ada pelecehan krna takut ga berani tlongin 😅
45,Nash,2022-05-22 06:12:11+00:00,"Ku udh pusing nemu hal ginian berkali2, pemikiran mereka udah benar2 diluar akal sehat bahkan sampai ada yg ngefitn… https://t.co/ktzPcHGhIB"
46,Nana | Face The Sun,2022-05-22 06:12:02+00:00,"@dreamynight06 @Soobatreceh Betul, mereka takut di salahkan dengan kalimat sejenis ""kenapa ga melawan?"" Atau ""cowo… https://t.co/hRaIYNmCIs"
47,nae🦕⚡,2022-05-22 06:10:42+00:00,"kalo ini dah termasuk pelecehan sih sumpah
buru buru deh itu yang buat tiktoknya kena azab !! https://t.co/sfH6ffbHVX"
48,Shela Marliana,2022-05-22 06:10:06+00:00,"Tersandung Pelecehan Seksual, Elon Musk Kasih Nama Skandalnya 'Elongate' https://t.co/E9UAo32dXi"
