,name,time,tweet
33,Kuya Ijo,2022-05-24 11:43:01+00:00,Semua org yg menyakitinya selalu mendapat bencana. Org pertama yg mendapat bencana adl pria yg melakukan pelecehan… https://t.co/KfQbphpDsb
34,n,2022-05-24 11:37:01+00:00,"yer sekali dua kali masih bisa di toleran, ini udah kesekian kali nya loh kaya begitu ditambah juga ini menyangkut… https://t.co/1nO0YqXrn0"
35,hidup damai bahagia ✨,2022-05-24 11:33:30+00:00,@NabillaaprianiS @rubyjendugi Kmu ga pernah jadi korban pelecehan seksual ya? Klopun belum pernah jadi korban seeng… https://t.co/RNEr8P26k4
36,Yvonne 黄依欢,2022-05-24 11:31:48+00:00,Pengguna socmed sebelah emang aneh. Gak nyadar ini tuh pelecehan seksual https://t.co/MXjPgAlYxW
37,LINE TODAY,2022-05-24 11:30:00+00:00,Skandal pelecehan seksual oleh Elon Musk. #FollowLINETODAY! https://t.co/9pOzAEEsOu
38,hid🍈,2022-05-24 11:28:45+00:00,"@NabillaaprianiS @rubyjendugi Hey kalo tolol jgn diborong semua ya, gak ada toleransi buat pelaku pelecehan seksual… https://t.co/Q3d1ThJM8D"
39,vina,2022-05-24 11:23:03+00:00,Termasuk pelecehan seksual ga sih.. so sick
40,Lucky,2022-05-24 11:17:44+00:00,"@adelia_put3 @nangkagembok - yere bilang kevin itu gagu, body shamming pacar kevin
- bilang kalo shida rahangnya ge… https://t.co/wYH772Q7RE"
41,Z E L L,2022-05-24 11:15:31+00:00,Awas aja lapor kena pelecehan seksual.
42,Gyy20,2022-05-24 11:14:54+00:00,@magenta_jingga Benerr... Gak bakal d maafin Susan dia kalau sampe ikutan kayak gitu... Susan vokal bgtt soal pelecehan seksual gituu
43,¹³𝚔𝚒𝚔𝚒 (inactive),2022-05-24 11:09:40+00:00,@m1ngguks pelaku pelecehan seksual yg pegang gitar di lagu filter. like what? lebay banget gtu..
44,Ikakusu,2022-05-24 11:06:40+00:00,@Gy11_1109 Lah iyaa.. pacar sendiri korban pelecehan seksual
45,Nemo,2022-05-24 11:04:03+00:00,@jpnncom Laki-laki juga bisa menjadi korban perkosaan ataupun pelecehan seksual.
46,padiluyyy,2022-05-24 11:00:49+00:00,Memang kalo verbal harassment itu jatuhnya jadi pelecehan seksual ya? Kok dimedia jadi begini si beritanya https://t.co/n5XUKkCZEO
47,tije_211,2022-05-24 10:59:57+00:00,@IamBnpl @nightclouds__ Ga usah dijadiin content juga kali. Belum lagi ini termasuk ke pelecehan seksual secara ver… https://t.co/VIgfu2YBMn
48,제라 / Jelaa✨,2022-05-24 10:57:08+00:00,"Liat snapgram temen gua, kaget:(((
Gua tau Yere pasti becanda krn emg biasanya yere kl ngmg suka ga diayak, tp ini… https://t.co/kfHKAhrepP"
49,hid🍈,2022-05-24 10:54:15+00:00,"@sflseed12 @caccaaa17 @hazelnotae Mungkin kebawa suasana sih setauku, sebenernya mereka notice sih kalo itu salah c… https://t.co/iJu5GkCNh6"
50,Lene,2022-05-24 10:52:49+00:00,"Hmmm. Masuknya ke pelecehan seksual, tapi banyak juga yang bela🤔🤔 https://t.co/e8DPCCQ688"
51,Rosmi,2022-05-24 10:50:53+00:00,"Modus pelecehan seksual
Modus bo
Syahril bakek
Viralkan
#bekasi
#viral
#viralmesum #viraltwitter #ViralVideo… https://t.co/jCh16eFRXc"
52,lulusSBMPTN2022,2022-05-24 10:50:44+00:00,"@nettinginting Yere dia harus lebih bisa jaga omongan dan attitude apalagi dia atlet ,dan ini udh termasuk peleceha… https://t.co/rXqWc0Pr0C"
53,Mubadalah.id,2022-05-24 10:50:41+00:00,"Tidak ada toleransi dan normalisasi untuk tindakan pelecehan dan kekerasan seksual.

Hal utama yang harus dilakukan… https://t.co/95cQGSVsIS"
54,Andreas Harsono,2022-05-24 10:47:33+00:00,"Mahasiswi Universitas Teuku Umar, Meulaboh, korban pelecehan seksual, mahasiswa2 protes dan minta rektor bikin satg… https://t.co/cy9ZeheJAz"
